"Sample"	"Sample_type"	"Flask"	"Individual"	"DPE"	"Selection"	"Strain"	"Density_cell_uL"	"SampleType2"	"Group"	"dph"	"Sample_name"	"NTI"
"39"	"W13r-L8_S30"	"Gut"	"W13"	8	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W13_W"	5.56859496454752
"40"	"W13r-L9_S31"	"Gut"	"W13"	9	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W13_W"	6.02620885256115
"41"	"W14K-L10_S64"	"Gut"	"W14"	10	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W14_W"	8.49707113109048
"42"	"W14K-L7_S61"	"Gut"	"W14"	7	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W14_W"	8.43787422742717
"43"	"W14K-L8_S62"	"Gut"	"W14"	8	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W14_W"	11.3796564199109
"44"	"W14K-L9_S63"	"Gut"	"W14"	9	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W14_W"	3.58653709418027
"45"	"W1r-L10_S20"	"Gut"	"W1"	10	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W1_W"	2.0367606099503
"46"	"W1r-L7_S17"	"Gut"	"W1"	7	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W1_W"	7.04585951621995
"47"	"W1r-L8_S18"	"Gut"	"W1"	8	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W1_W"	1.39434380344331
"48"	"W1r-L9_S19"	"Gut"	"W1"	9	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W1_W"	1.14494117872028
"49"	"W2K-L10_S52"	"Gut"	"W2"	10	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W2_W"	8.89745660171428
"50"	"W2K-L7_S49"	"Gut"	"W2"	7	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W2_W"	17.1084082089635
"51"	"W2K-L8_S50"	"Gut"	"W2"	8	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W2_W"	7.15821050777391
"52"	"W2K-L9_S51"	"Gut"	"W2"	9	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W2_W"	7.06603461663097
"53"	"W5r-L10_S24"	"Gut"	"W5"	10	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W5_W"	7.23088553133645
"54"	"W5r-L7_S21"	"Gut"	"W5"	7	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W5_W"	2.05722812370126
"55"	"W5r-L8_S22"	"Gut"	"W5"	8	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W5_W"	3.63806688579157
"56"	"W5r-L9_S23"	"Gut"	"W5"	9	22	"r"	"W"	NA	"Gut"	"Gut_Add-r"	"22"	"22_W5_W"	6.32970073840395
"57"	"W7K-L10_S56"	"Gut"	"W7"	10	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W7_W"	10.4600652219739
"58"	"W7K-L7_S53"	"Gut"	"W7"	7	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W7_W"	11.6483039052954
