"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1","group2"
"14","A10r-L7_S9","ASV17",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-r: Aquaculture salmon strain"
"15","A10r-L7_S9","ASV23",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-r: Aquaculture salmon strain"
"16","A10r-L7_S9","ASV27",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-r: Aquaculture salmon strain"
"17","A10r-L7_S9","ASV15",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"18","A10r-L7_S9","ASV6",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"19","A10r-L7_S9","ASV71",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-r: Aquaculture salmon strain"
"20","A10r-L7_S9","ASV55",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-r: Aquaculture salmon strain"
"21","A10r-L8_S10","ASV1",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"22","A10r-L8_S10","ASV3",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"23","A10r-L8_S10","ASV4",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"24","A10r-L8_S10","ASV17",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-r: Aquaculture salmon strain"
"25","A10r-L8_S10","ASV23",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-r: Aquaculture salmon strain"
"26","A10r-L8_S10","ASV27",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-r: Aquaculture salmon strain"
"27","A10r-L8_S10","ASV15",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"28","A10r-L8_S10","ASV6",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"29","A10r-L8_S10","ASV71",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-r: Aquaculture salmon strain"
"30","A10r-L8_S10","ASV55",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-r: Aquaculture salmon strain"
"31","A10r-L9_S11","ASV1",3.62969752520623,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"32","A10r-L9_S11","ASV3",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"33","A10r-L9_S11","ASV4",51.4665444546288,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"34","A10r-L9_S11","ASV17",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-r: Aquaculture salmon strain"
"35","A10r-L9_S11","ASV23",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-r: Aquaculture salmon strain"
"36","A10r-L9_S11","ASV27",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-r: Aquaculture salmon strain"
"37","A10r-L9_S11","ASV15",10.0274977085243,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"38","A10r-L9_S11","ASV6",2.19065077910174,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"39","A10r-L9_S11","ASV71",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-r: Aquaculture salmon strain"
"40","A10r-L9_S11","ASV55",0,"A10r-L9_S11","Gut","A10",9,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_9","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-r: Aquaculture salmon strain"
