"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1"
"19","K4-aw_S83","ASV239",0.0273149412728763,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","Unassigned","ASV239 (c:Betaproteobacteria)"
"20","K4-aw_S83","ASV605",0.00910498042429209,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV605 (f:Oxalobacteraceae)"
"21","K5-aw_S85","ASV1",23.2159236837278,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)"
"22","K5-aw_S85","ASV3",0.110071546505228,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)"
"23","K5-aw_S85","ASV4",16.3823151715282,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)"
"24","K5-aw_S85","ASV14",8.26453861676756,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Moraxellaceae","uncl_f_Moraxellaceae","Moraxellaceae","ASV14 (f:Moraxellaceae)"
"25","K5-aw_S85","ASV39",0,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","uncl_f_Comamonadaceae","Comamonadaceae","ASV39 (f:Comamonadaceae)"
"26","K5-aw_S85","ASV15",0.0642084021280499,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)"
"27","K5-aw_S85","ASV6",0.0183452577508714,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)"
"28","K5-aw_S85","ASV28",0,"K5-aw_S85","Intake water",NA,NA,16,"K",NA,"980","AW","AW_Add-K","16","16","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","o_Sphingomonadales","f_Sphingomonadaceae","g_Sphingomonas","Sphingomonadaceae","ASV28 (g:Sphingomonas)"
